,domain_size,number_of_trials,time
0,50000,1000,0.030793800000000093
1,100000,1000,0.06148819999999988
2,150000,1000,0.07885439999999955
3,200000,1000,0.09535889999999991
4,250000,1000,0.12106450000000013
5,300000,1000,0.14979340000000008
6,350000,1000,0.17569169999999978
7,400000,1000,0.2087760999999997
8,450000,1000,0.22819250000000046
9,500000,1000,0.2522908999999993
10,550000,1000,0.26955369999999945
11,600000,1000,0.32924120000000023
12,650000,1000,0.30927789999999966
13,700000,1000,0.3202052000000002
14,750000,1000,0.40403690000000037
15,800000,1000,0.3615824999999999
16,850000,1000,0.4443242999999999
17,900000,1000,0.4622409999999997
18,950000,1000,0.4210292000000013
19,1000000,1000,0.43074499999999993
20,50000,2000,0.05683959999999999
21,100000,2000,0.1094887
22,150000,2000,0.1688251999999988
23,200000,2000,0.19800299999999993
24,250000,2000,0.23309260000000087
25,300000,2000,0.3386621999999999
26,350000,2000,0.3661221000000001
27,400000,2000,0.39338230000000074
28,450000,2000,0.4776921000000005
29,500000,2000,0.43450260000000007
30,550000,2000,0.5151288000000012
31,600000,2000,0.5485433999999998
32,650000,2000,0.5919979000000009
33,700000,2000,0.6479724999999998
34,750000,2000,0.6760234999999994
35,800000,2000,0.7026979999999998
36,850000,2000,0.7659734
37,900000,2000,0.801257500000002
38,950000,2000,0.8348196999999971
39,1000000,2000,0.8545014000000002
40,50000,3000,0.08709350000000171
41,100000,3000,0.1554481999999986
42,150000,3000,0.23769610000000085
43,200000,3000,0.29006230000000244
44,250000,3000,0.34414250000000024
45,300000,3000,0.4334977999999978
46,350000,3000,0.4998269999999998
47,400000,3000,0.558482399999999
48,450000,3000,0.6939087000000015
49,500000,3000,0.6874627000000011
50,550000,3000,0.8039591999999978
51,600000,3000,0.9567824999999992
52,650000,3000,0.9087232999999983
53,700000,3000,0.9717005000000007
54,750000,3000,1.017056499999999
55,800000,3000,1.1045693000000014
56,850000,3000,1.155286499999999
57,900000,3000,1.2144799000000006
58,950000,3000,1.282546
59,1000000,3000,1.4327304999999981
60,50000,4000,0.12102529999999945
61,100000,4000,0.2218566000000024
62,150000,4000,0.429152000000002
63,200000,4000,0.41565879999999567
64,250000,4000,0.4705785999999961
65,300000,4000,0.6104585
66,350000,4000,0.7405604999999937
67,400000,4000,0.8493127999999999
68,450000,4000,0.9423463999999981
69,500000,4000,0.9953541000000001
70,550000,4000,1.0332016999999993
71,600000,4000,1.2783282999999983
72,650000,4000,1.2576563000000007
73,700000,4000,1.3019206999999966
74,750000,4000,1.9510146000000006
75,800000,4000,1.7488996999999955
76,850000,4000,1.760876599999996
77,900000,4000,1.7790870999999981
78,950000,4000,1.8611633000000012
79,1000000,4000,1.9067427000000023
80,50000,5000,0.15948790000000201
81,100000,5000,0.29696589999999645
82,150000,5000,0.4393266999999952
83,200000,5000,0.5464824999999962
84,250000,5000,0.6357448999999988
85,300000,5000,0.8050621000000007
86,350000,5000,0.8787295999999998
87,400000,5000,1.0017335000000003
88,450000,5000,1.1198816999999934
89,500000,5000,1.221159
90,550000,5000,1.374728399999995
91,600000,5000,1.6977939000000006
92,650000,5000,1.7500653000000028
93,700000,5000,1.787282300000001
94,750000,5000,1.8859101999999979
95,800000,5000,1.8876864000000069
96,850000,5000,2.008643599999999
97,900000,5000,2.1771987999999993
98,950000,5000,2.2857585
99,1000000,5000,2.320181599999998
100,50000,6000,0.18754509999999414
101,100000,6000,0.33469119999999464
102,150000,6000,0.49449509999999464
103,200000,6000,0.6224156999999906
104,250000,6000,0.7637160999999963
105,300000,6000,0.9341703999999993
106,350000,6000,1.0293326999999977
107,400000,6000,1.225313700000001
108,450000,6000,1.4637884999999926
109,500000,6000,1.4669793000000055
110,550000,6000,1.7018204000000026
111,600000,6000,1.8469340999999986
112,650000,6000,2.013635899999997
113,700000,6000,2.1494411999999983
114,750000,6000,2.1676439000000016
115,800000,6000,2.3533920000000137
116,850000,6000,2.3950180000000074
117,900000,6000,2.9886662999999913
118,950000,6000,3.037604799999997
119,1000000,6000,2.832624899999999
120,50000,7000,0.21340730000000008
121,100000,7000,0.4055243000000104
122,150000,7000,0.5890181999999982
123,200000,7000,0.7372692999999941
124,250000,7000,0.9017900000000054
125,300000,7000,1.102174699999992
126,350000,7000,1.2503011999999956
127,400000,7000,1.4392409999999956
128,450000,7000,1.5531486999999942
129,500000,7000,1.7011569000000009
130,550000,7000,1.925523300000009
131,600000,7000,2.0927121
132,650000,7000,2.2727699000000143
133,700000,7000,2.7035127000000045
134,750000,7000,2.7001723000000197
135,800000,7000,2.695896099999999
136,850000,7000,2.7844685999999967
137,900000,7000,2.9182547000000056
138,950000,7000,3.0774136
139,1000000,7000,3.2664820999999904
140,50000,8000,0.24744470000001684
141,100000,8000,0.4717873999999824
142,150000,8000,0.6679594000000009
143,200000,8000,0.8421101000000135
144,250000,8000,0.9914064999999823
145,300000,8000,1.2536168000000032
146,350000,8000,1.4039460999999847
147,400000,8000,1.5678415000000143
148,450000,8000,1.7693146999999954
149,500000,8000,1.9072967000000176
150,550000,8000,2.216364800000008
151,600000,8000,2.4407395000000065
152,650000,8000,2.962409100000002
153,700000,8000,3.4021615000000054
154,750000,8000,2.942706600000008
155,800000,8000,3.1163787000000127
156,850000,8000,3.3431606000000045
157,900000,8000,3.378225299999997
158,950000,8000,3.7543052000000046
159,1000000,8000,3.70879020000001
160,50000,9000,0.2809323999999833
161,100000,9000,0.5246037999999942
162,150000,9000,0.7629280999999821
163,200000,9000,0.9505149000000017
164,250000,9000,1.1615432000000112
165,300000,9000,1.5983487999999966
166,350000,9000,1.8891159000000073
167,400000,9000,1.9542377999999871
168,450000,9000,2.076406899999995
169,500000,9000,2.172848000000016
170,550000,9000,2.476599099999987
171,600000,9000,2.6828755999999885
172,650000,9000,2.8382581999999843
173,700000,9000,3.019368400000019
174,750000,9000,3.2321608000000026
175,800000,9000,3.394882100000018
176,850000,9000,3.8066877999999917
177,900000,9000,4.432236700000004
178,950000,9000,4.293114800000012
179,1000000,9000,4.576674800000006
180,50000,10000,0.345319499999988
181,100000,10000,0.6543465000000026
182,150000,10000,0.9576287999999806
183,200000,10000,1.1260945999999876
184,250000,10000,1.3529776000000027
185,300000,10000,1.8399024999999938
186,350000,10000,2.033241800000013
187,400000,10000,2.3207941000000005
188,450000,10000,3.772116699999998
189,500000,10000,5.307047299999965
190,550000,10000,4.059852499999977
191,600000,10000,3.922956099999965
192,650000,10000,4.321651200000019
193,700000,10000,4.668694000000016
194,750000,10000,4.158190600000012
195,800000,10000,4.313409800000045
196,850000,10000,4.546963000000005
197,900000,10000,5.105710200000033
198,950000,10000,4.4931325000000015
199,1000000,10000,4.998182200000031
